name,0.3,0.5,0.7,0.9
Miami-Dade County,5,1,1,1
Broward County,38,22,2,2
Citrus County,6,6,3,6
Gadsden County,1,2,4,14
Hamilton County,2,3,5,20
Putnam County,4,5,6,19
Glades County,3,4,7,22
Madison County,7,7,8,25
DeSoto County,8,8,9,27
Dixie County,9,9,10,23
Marion County,22,18,11,8
Calhoun County,10,10,12,30
Highlands County,12,12,13,28
Jefferson County,11,11,14,29
Taylor County,14,13,15,24
Lee County,33,31,16,5
Collier County,43,36,17,3
Jackson County,13,14,18,32
Sumter County,17,17,19,17
Levy County,15,15,20,26
Hardee County,16,16,21,39
Pinellas County,35,32,22,7
Hernando County,30,29,23,11
Franklin County,20,20,24,36
Liberty County,18,19,25,38
Washington County,19,21,26,40
Palm Beach County,53,44,27,4
Okeechobee County,21,23,28,43
Hendry County,23,24,29,41
Charlotte County,24,25,30,34
Columbia County,27,26,31,31
Escambia County,41,40,32,9
Holmes County,25,27,33,45
Pasco County,46,42,34,10
Bradford County,26,28,35,48
Volusia County,36,37,36,18
Leon County,40,41,37,12
Lafayette County,28,30,38,49
Polk County,37,39,39,21
Suwannee County,29,33,40,51
Indian River County,32,35,41,50
Union County,31,34,42,56
Alachua County,34,38,43,52
Bay County,51,49,44,15
Sarasota County,44,45,45,33
Brevard County,54,53,46,13
Monroe County,55,54,47,16
Flagler County,42,46,48,55
Gulf County,39,43,49,57
Lake County,50,52,50,37
Manatee County,49,51,51,46
Duval County,52,55,52,44
Martin County,45,47,53,62
Gilchrist County,47,48,54,61
St. Lucie County,48,50,55,60
Hillsborough County,58,57,56,35
Osceola County,57,58,57,53
Baker County,56,56,58,58
Walton County,59,59,59,59
Orange County,60,60,60,47
Okaloosa County,63,62,61,42
Nassau County,61,61,62,64
Wakulla County,62,63,63,65
Santa Rosa County,66,66,64,54
Clay County,65,64,65,63
Seminole County,64,65,66,66
St. Johns County,67,67,67,67
